County,Population,Density,Land Area (mi),Year
Alameda County,1663190,2256.7028493894168,737,2017
Amador County,38626,64.91764705882353,595,2017
Butte County,229294,140.15525672371638,1636,2017
Calaveras County,45670,44.77450980392157,1020,2017
Colusa County,21805,18.944396177237184,1151,2017
Contra Costa County,1147439,1600.3333333333333,717,2017
Del Norte County,27470,27.306163021868787,1006,2017
El Dorado County,188987,110.64812646370024,1708,2017
Fresno County,989255,166.0381000335683,5958,2017
Glenn County,28094,21.380517503805176,1314,2017
Humboldt County,136754,38.32791479820628,3568,2017
Imperial County,182830,43.781130268199234,4176,2017
Kern County,893119,109.78721573448064,8135,2017
Kings County,150101,107.90869877785765,1391,2017
Lake County,64246,51.19203187250996,1255,2017
Lassen County,31163,6.862585333626955,4541,2017
Los Angeles County,10163507,2503.32684729064,4060,2017
Madera County,156890,73.41600374356575,2137,2017
Marin County,260955,501.83653846153845,520,2017
Mariposa County,21073,14.543133195307108,1449,2017
Mendocino County,88018,25.097804391217565,3507,2017
Merced County,272673,140.69814241486068,1938,2017
Monterey County,437907,133.42687385740402,3282,2017
Napa County,140973,187.46409574468086,752,2017
Nevada County,99814,104.18997912317327,958,2017
Orange County,3190400,4023.203026481715,793,2017
Placer County,386166,274.4605543710021,1407,2017
Riverside County,2423266,336.1445415452906,7209,2017
Sacramento County,1530615,1586.1295336787564,965,2017
San Benito County,60310,43.419726421886246,1389,2017
San Bernardino County,2157404,107.5046840741479,20068,2017
San Diego County,3337685,792.7992874109264,4210,2017
San Francisco County,884363,18816.23404255319,47,2017
San Joaquin County,745424,535.5057471264367,1392,2017
San Luis Obispo County,283405,85.85428657982429,3301,2017
San Mateo County,771410,1718.0623608017818,449,2017
Santa Barbara County,448150,163.91733723482076,2734,2017
Santa Clara County,1938153,1501.280402788536,1291,2017
Santa Cruz County,275897,619.9932584269662,445,2017
Shasta County,179921,47.648569915254235,3776,2017
Siskiyou County,43853,6.9840738971173755,6279,2017
Solano County,445458,541.9197080291971,822,2017
Sonoma County,504217,320.1377777777778,1575,2017
Stanislaus County,547899,366.24264705882354,1496,2017
Sutter County,96648,160.27860696517413,603,2017
Tehama County,63926,21.67717870464564,2949,2017
Tulare County,464493,96.28793532338308,4824,2017
Tuolumne County,54248,24.425033768572714,2221,2017
Ventura County,854223,463.9994568169473,1841,2017
Yolo County,219116,216.3040473840079,1013,2017
Yuba County,77031,121.88449367088607,632,2017
